family	galga	gasac	ornan	oryla	homsa	sacce	cioin	hydma	nemve	pedhu	ampqu	drome	anoca	musmu	apime	mondo	anoga	danre	loxaf	ciosa	tetni
ORTHOMCL641	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
ORTHOMCL640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ORTHOMCL647	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0
ORTHOMCL646	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
ORTHOMCL645	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
ORTHOMCL644	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
ORTHOMCL649	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
ORTHOMCL395	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL394	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL397	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	1
ORTHOMCL396	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL391	1	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	1
ORTHOMCL390	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1
ORTHOMCL393	0	1	1	2	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL392	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1
ORTHOMCL399	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	1
ORTHOMCL398	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL469	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL468	0	1	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL1078	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
ORTHOMCL1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ORTHOMCL1070	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ORTHOMCL1071	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ORTHOMCL1072	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ORTHOMCL1073	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
ORTHOMCL1074	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ORTHOMCL1075	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ORTHOMCL1076	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ORTHOMCL1077	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ORTHOMCL269	0	1	0	1	1	0	1	0	0	1	0	1	1	1	1	1	1	2	1	0	1
ORTHOMCL268	0	2	0	1	5	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	2
ORTHOMCL261	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0
ORTHOMCL260	1	1	1	0	0	0	0	2	1	1	0	1	0	1	1	0	1	1	1	0	2
ORTHOMCL263	0	1	0	1	1	0	1	1	1	1	0	1	0	1	1	0	1	2	0	0	2
ORTHOMCL262	0	2	1	0	1	0	0	0	1	1	0	1	0	1	0	1	1	2	1	0	2
ORTHOMCL265	0	1	1	1	1	0	0	0	0	0	0	3	1	1	0	1	1	1	1	1	1
ORTHOMCL264	1	1	1	1	1	0	0	1	2	0	0	0	1	1	0	1	0	1	1	1	1
ORTHOMCL267	0	1	0	1	5	0	0	0	0	0	0	0	1	1	0	2	0	3	0	0	1
ORTHOMCL266	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1
ORTHOMCL1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ORTHOMCL1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ORTHOMCL1291	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ORTHOMCL1292	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1293	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ORTHOMCL1299	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ORTHOMCL1104	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1105	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1106	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1107	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1100	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1101	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1102	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1103	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1108	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ORTHOMCL1109	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL728	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
ORTHOMCL729	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
ORTHOMCL898	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL899	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL896	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL897	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL726	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ORTHOMCL895	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ORTHOMCL892	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL893	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL890	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0
ORTHOMCL891	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0
ORTHOMCL650	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
ORTHOMCL651	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
ORTHOMCL652	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL653	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
ORTHOMCL654	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL655	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1
ORTHOMCL656	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1
ORTHOMCL657	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1
ORTHOMCL658	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1
ORTHOMCL659	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
ORTHOMCL388	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	2
